person,personLabel,sitelinks
http://www.wikidata.org/entity/Q933273,Magnus Pääjärvi Svensson,15
http://www.wikidata.org/entity/Q1699128,Victor Rask,15
http://www.wikidata.org/entity/Q1992344,Nils Grandelius,15
http://www.wikidata.org/entity/Q2645491,Viktor Arvidsson,15
http://www.wikidata.org/entity/Q3077684,Hampus Lindholm,15
http://www.wikidata.org/entity/Q3555193,Simon Hedlund,15
http://www.wikidata.org/entity/Q3808800,Johan Larsson,15
http://www.wikidata.org/entity/Q6046543,Tom Pettersson,15
http://www.wikidata.org/entity/Q6072898,Jonathan Ring,15
http://www.wikidata.org/entity/Q7264597,Pär Lindholm,15
http://www.wikidata.org/entity/Q9333818,Sara McManus,15
http://www.wikidata.org/entity/Q16219266,Cornelia Lister,15
http://www.wikidata.org/entity/Q16224651,Marcus Pettersson,15
http://www.wikidata.org/entity/Q15619153,Adrian Kempe,15
http://www.wikidata.org/entity/Q13233415,Lucas Wallmark,15
http://www.wikidata.org/entity/Q17437190,Dino Islamovic,15
http://www.wikidata.org/entity/Q15980984,Sotirios Papagiannopoulos,15
http://www.wikidata.org/entity/Q16150336,Rasmus Andersson,15
http://www.wikidata.org/entity/Q19883128,Valmir Berisha,15
http://www.wikidata.org/entity/Q20744987,Oscar Linnér,15
http://www.wikidata.org/entity/Q22253417,Joel Eriksson,15
http://www.wikidata.org/entity/Q22278840,LÉON,15
http://www.wikidata.org/entity/Q24150779,Mimmi Wahlström,15
http://www.wikidata.org/entity/Q24450593,Julia Roddar,15
http://www.wikidata.org/entity/Q20890517,Ramon Pascal Lundqvist,15
http://www.wikidata.org/entity/Q22811348,Johanna Hagström,15
http://www.wikidata.org/entity/Q26994740,Gustav Berggren,15
http://www.wikidata.org/entity/Q23771731,Q23771731,15
http://www.wikidata.org/entity/Q23060866,Anton Källberg,15
http://www.wikidata.org/entity/Q25842503,Ingrid García-Jonsson,15
http://www.wikidata.org/entity/Q29017126,Sofia Mabergs,15
http://www.wikidata.org/entity/Q27654695,Felix Claar,15
http://www.wikidata.org/entity/Q29525425,Tommy Macias,15
