brand,brandLabel,sitelinks
http://www.wikidata.org/entity/Q221671,FC Slovan Liberec,42
http://www.wikidata.org/entity/Q494917,Virgin Group,42
http://www.wikidata.org/entity/Q769222,Dailymotion,42
http://www.wikidata.org/entity/Q651778,Douglas,42
http://www.wikidata.org/entity/Q1229287,Hennessy,42
http://www.wikidata.org/entity/Q875920,Toho,42
http://www.wikidata.org/entity/Q931207,PPR,42
http://www.wikidata.org/entity/Q221869,SsangYong,42
http://www.wikidata.org/entity/Q653941,Ray-Ban,41
http://www.wikidata.org/entity/Q844123,portlandcement,41
http://www.wikidata.org/entity/Q237757,Q237757,41
http://www.wikidata.org/entity/Q163241,Continental AG,41
http://www.wikidata.org/entity/Q247489,Merck & Co.,41
http://www.wikidata.org/entity/Q333498,Bombardier,41
http://www.wikidata.org/entity/Q705392,Seagate,41
http://www.wikidata.org/entity/Q739416,BAE Systems,41
http://www.wikidata.org/entity/Q502940,General Dynamics,41
http://www.wikidata.org/entity/Q503182,Petrochina,41
http://www.wikidata.org/entity/Q628051,Autodesk,41
http://www.wikidata.org/entity/Q381563,Aeroméxico,41
http://www.wikidata.org/entity/Q210278,Gibson Brands,41
http://www.wikidata.org/entity/Q212646,Hoffmann-La Roche,41
http://www.wikidata.org/entity/Q730587,Cunard Line,41
http://www.wikidata.org/entity/Q161140,Diageo,41
http://www.wikidata.org/entity/Q49203,Sanyo,41
http://www.wikidata.org/entity/Q169552,Haribo,41
http://www.wikidata.org/entity/Q565594,Eni,41
http://www.wikidata.org/entity/Q645984,TAG Heuer,41
http://www.wikidata.org/entity/Q668687,United States Postal Service,41
http://www.wikidata.org/entity/Q107377209,Shein,41
http://www.wikidata.org/entity/Q623561,Dr Pepper,40
http://www.wikidata.org/entity/Q332378,Absolut Vodka,40
http://www.wikidata.org/entity/Q858702,Duracell,40
